business_name,rating,review
hub by Premier Inn London Clerkenwell hotel,,"Wow! We were really impressed. We weren’t really expecting much due to the price, but this was amazing! The room was a decent size with lots of storage space. There was also a smart TV as well as LOTS of plugs and USB ports for charging …"
hub by Premier Inn London Clerkenwell hotel,,"I have had an excellent stay here, second time with Hub by Premier Inn and first time at this location. The rooms are cosy and well maintained. Cleanliness was great, beds comfy, complementary bottle of water every day. The rooms have a perfect size for a solo traveller like me, I would say for a couple the space might be a bit tight. It's also very quiet in the hotel so I got a good rest and night's sleep.

The team is extremely friendly and they allowed me to use the hotel address for online shopping, which was convenient for me as a non UK resident.

The location is a bit of a walk from the station, the area is safe though. The connections from Farringdon on the Elizabeth Line are very quick and convenient. I'll look forward to future stays with the Hub."
hub by Premier Inn London Clerkenwell hotel,,"Excellent value for money, nothing else like it in the area. Very clean rooms and lounge area. All you can eat breakfast very nice. Location is lovely, beside Exmouth Market. Large room. Quiet enough to sleep well. Comfortable bedding and heating/air con. Staff very friendly. Compares to 4 star hotels in my opinion. Highly recommend!"
hub by Premier Inn London Clerkenwell hotel,,"Very satisfied with our stay at the Hub.
The hotel was happy to store our bags prior to check in.
The room was spotlessly clean & the beds were comfy (though we did request extra pillows).
The nighttimes were peaceful & there was a black out blinds on the window.
All the staff, including the duty manager & chefs were very friendly & happy to accommodate my partners dietary requirements and the bar/breakfast are was comfortable.
The location was very convenient, as was the 12 noon check out time.
I would note even the larger of the rooms are on the small side & perhaps more suitable for a single person and I found the way the lighting in the bathroom was connected to the lighting in the room a little odd."
hub by Premier Inn London Clerkenwell hotel,,"This was a wonderful and comfortable stay.

The staff were so welcoming and friendly with an excellent coffee whilst we waited for our room to be ready.

The hotel is in an excellent location, right next to Exmouth market that has great restaurants and shops.

The rooms were basic but comfortable, spotless and well designed. The windows were designed to block out any noise making it completely quiet. It did feel a bit stuffy but was okay when you changed the settings on the air conditioning.

Will be coming back."
hub by Premier Inn London Clerkenwell hotel,,"Easy self chick in. Small but perfectly formed rooms,with comfy bed. Would be nice to have a kettle though. 24hr bar is a plus - we went to a gig, so was nice to be able to come back for a drink. Breakfast was fine - although staff were a bit slow to restock food and crockery/cutlery. Good location for train station.... Will come again"
hub by Premier Inn London Clerkenwell hotel,,We had a great experience. We bought early check in from 11 to be able to drop our bags off for the day. The hotel is nice clean and modern and has a nice bar. The location is great and is a quick walk to the Farringdon tube station and modern Elizabeth line tube which have nicer trains with good air con. The staff were friendly and overall great stay for the price
hub by Premier Inn London Clerkenwell hotel,,I love the Hub by Premier Inn hotels and this one was no exception. Excellent location near King's Cross and Farringdon. Comfy bed and very clean. No kettle in the room but you can access hot drinks for free in the bar area. Basic breakfast but everything you would need for the price. Did self check in but the staff seemed friendly too. Nice and quiet room. Highly recommended.
hub by Premier Inn London Clerkenwell hotel,,"Excellent stay. Check in was prompt. Room cleanliness was 10/10. All staff really friendly and welcoming. Exmouth Market is a very short distance with lots of cafes and eateries. Short walk to tube station at Farringdon, with direct access to Wembley. King's Cross is around 20 mins walk.
Would definitely stay here again when visiting London.
Thank you"
hub by Premier Inn London Clerkenwell hotel,,"Fab hotel, ideal base for exploring London. 20 min walk from King's Cross. Hotel clean & modern. Staff helpful. Breakfast was great for £8, would highly recommend rather than traipsing round looking for places to eat. Eating & bar area very clean & food items topped up regularly."
The Fortnum’s Bar & Restaurant at Royal Exchange,,
The Fortnum’s Bar & Restaurant at Royal Exchange,4.0,"We were celebrating our engagement with a Champagne Afternoon Tea.
The sandwiches were so fresh, the Scone and Cakes were delicious.
We chose Darjeeling Tea which was soooooo nice!!
The only thing I would say is, we were sat for almost 35 mins before we got our food, then another 10-15mins until the pot of tea arrived.  We found we had to slow down the eating in order to enjoy everything together.
It’s within a beautiful building that also houses shops such as Boodles, Omega and Tiffany’s and the Engel bar."
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,"A Wonderful Place for a Snack
The Big 3s:

Ambience: nothing better than this area and surroundings

Service: a few in the morning sharing duties but the Mr. from Peru was the nicest who also told me about discount in the store with my receipt; the Italian girl also kind; the British gentleman told me I could not get brown toast for my Welsh Rarebit since ""it's already premade"" which doesn't sound very appetizing

Food: 6 out of 1-10 as it's just super simple on a dish and white bread at that

Unique Point: for same day to the store adjacent we save 10% for being a customer of the restaurant bar; unsure if the same is true if you shop in store to get a discount back in the restaurant"
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,"I came here with a colleague after work. I ordered a glass of champagne, scotch eggs, and a side of salad, and I loved it. Simple but good food and champagne in a beautiful setting. This, plus the good company, made for a wonderful evening, so a 5 stars all around for me."
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,"I'm so glad to have chosen this restaurant for our recent visit to London.

The atmospheric surroundings from the old building were amazing. The food was magnificent, and staff were all supper helpful and brilliant."
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,"A fantastic spot for a glass of champagne in a truly historic setting! Located within the iconic Royal Exchange, which dates back to 1571, Fortnum’s Bar offers a refined atmosphere surrounded by luxury boutiques.

The bar is open Monday to Friday from 7:30 AM to 10:30 PM, making it a great choice for breakfast, afternoon tea, or an elegant evening drink. The service is impeccable, and the selection of Fortnum & Mason’s signature drinks and light bites is excellent.

Sitting under the grand arches of the Royal Exchange while enjoying a chilled glass of champagne is a wonderful experience—perfect for a break from shopping or a stylish catch-up with friends. Highly recommended for those who appreciate history, luxury, and great hospitality!"
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,"A great bar to come and chill for a drink with colleagues, friends, and family. It’s nice to sit among locals and enjoy a nice cup of tea or coffee. The seating at the bar was quite comfortable (although we would’ve preferred to sit at the tables with the nice blankets – this seating was reserved for patrons who were eating). We stopped here for tea and a latte after spending time at the Bank of England across the street. I love this tea so much that I had to buy more at the F&M store next to the bar. The bar staff were extremely friendly and they were quick to serve and clean the area.
It was an amazing experience to sit at the bar, enjoy a fresh cup of tea and stare at the store and lovely architecture surrounding you."
The Fortnum’s Bar & Restaurant at Royal Exchange,1.0,"The tea is very good, but the customer service is 1 star.
When a customer dropped the menu list on the floor, the waiter stepped on it and put it on the desk without replacing it.
Also, water is refilled for Caucasians but not for Asians (not racist, but I feel there is some kind of difference in service delivery to customers)
There is also a
store in Tokyo, so I thought about going there, but I won't be going there anymore,"
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,"Best table service I've had outside a Michelin star restaurant. Excellent drinks and food, would love to visit again. Had the fixed price menu and chose the Scotch egg, steak and knickerbocker glory, all were fabulous and better than expected."
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,Such a beautiful setting. Service impeccable. Thank you making things so special for my friend and I 👍🏾😎
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,"Great building. Great food.
We had steak (+£8), chips (+£6.50) and vegetables (+£6.50).
All food was tasty but be prepared to pay a bit extra for drink and sides."
The Fortnum’s Bar & Restaurant at Royal Exchange,4.0,"Lovely experience using my virgin experience voucher for 3 course dinner.

The set menu options were quite varied. Ordered the Beetroot salad and renowned scotch egg, both lovely.

Then had the steak with peppercorn sauce, quite different, sauce was sweet but delicious and steaks were cooked very nicely.

For dessert we had the crepe suzette - nice experience watching this cooked tableside. And the brownie which was very warming and super chocolatey.

Staff were also attentive and friendly.

Location is lovely, just bear in mind it's a little dark at night as the lighting is only from the dimly lit lamps."
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,"Great experience and open area to enjoy your meal
According to the staff everything on the menu is popular"
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,We got gifted a virgin experience to come and eat here and it was lovely. The ambience was great and the service was really good. The beer selection was the only let down for me.
The Fortnum’s Bar & Restaurant at Royal Exchange,1.0,"Well I used to love this place. The food is excellent and the people are lovely. Except today.  It was 10% occupied at 9am. I am unable to perch on the high stools due to an injury. I wanted to meet a friend for coffee, but was told the tables were all taken. They weren't. The maitre d' would not hear me. We went somewhere else."
The Fortnum’s Bar & Restaurant at Royal Exchange,1.0,"Tourist Trap. Avoid.

Wonderful atmosphere, nice staff. Unfortunately the afternoon tea set was terrible. We were both nauseous after the food. The sandwiches were not fresh. Been made and left out too long. £50/per person yet they cannot manage a decent sandwich, it is pretty inexcusable. Pastries were also overly, sickly sweet and not fresh. Soggy even. Massive disappointment."
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,"5 Stars Luxury Experience! We booked with the Virgin Experience for our 2nd Anniversary, we had a delicious and amazing dinner, the food it's incredible tasty and the service is more than perfect! The waitresses were so kind and helpful and they offer us a dessert for our anniversary. They have been amazing and we loved everything!! Absolutely recommended as a restaurant if you want to have a special moment with someone you love. Thank you for this amazing dinner!"
The Fortnum’s Bar & Restaurant at Royal Exchange,4.0,"Gift from friend for our Wedding Gift from this Virgin experience day 🎁 Walked in each to their own preference the claimed ""most instagramable"" I didn't think it was wow factor. There's 4 entrances and the seatings your placed kinda right in the middle, 360 surrounded by luxury jewelery shops with some Fortnum and Mason kinda bit exposed from my view, strangers walking past because anyone could walk in and not sure who prefers that (also the chairs were not comfortable at all and our table was unbalanced so it was wonky). In-addition, if you're like first time visit your kinda lost where to go cause there's not really a recognised reception point so you kinda just walk towards a member of staff to ask. Food selection was alright for my selection and happy to pay extra. But partner had this steak (Medium Rare request but more Medium Well) with Pepporncorn sauce tasted weird with a fishy trout taste, I'm unsure of this reason but she didn't want me to raise the issue for £15 additional expected something better but I guess it's Bank, location location! Service greeting was friendly at all times, but there were some like serving staff that was a bit like okay... example I ordered a big sparkling bottle of water to share, opened it poured it for us very nice but then took the lid cap away leaving the bottle of sparkling exposed throughout the dinner of Service. I expected better as imagine paying £85 already then topping up another £50 on top including the service charge (we ordered extra food) for 2 ppl but I guess this is standard for Bank again. Oh the cocktail 🍸  was not for me, the Pale ale was nice though 👌 Overall, experience didn't do it for me 😅 but you can't please  everyone, try it for your own point for view."
The Fortnum’s Bar & Restaurant at Royal Exchange,4.0,"Had a champagne afternoon tea for two here and enjoyed the experience for the most part.
It was difficult to find space on the table for everything, and it felt a bit strange to be in the middle of the room here with events going on upstairs though. The food was also not the best afternoon tea food I've ever had - it was by no means bad, just a bit plain."
The Fortnum’s Bar & Restaurant at Royal Exchange,4.0,"The food was good not the best I've ever had but the location and attentive staff more than made up for it. We had a set menu as a present (£100) but still paid for extra and drinks, it cost about £65. You could do it for the cost of the voucher and it would be very nice. Over all I would have to say I've had better for less."
The Fortnum’s Bar & Restaurant at Royal Exchange,1.0,"It’s a shame that such a beautiful location doesn’t have nice service.

Server literally forgot to add the food snack I requested, upon my reiterated request, he fuzzed off “it was not charged” and tried to order it again, in vain, he forgot again.

Tried to enquiry him information about the menu, impossible.

Noticed preference towards regular customers, which is a shame as I am also a local but first timer here, which may be the last, at least wouldn’t recommend the bar.

the policy of having tables only for dining is absurd, sometimes you start with drinks and add food later, you are self limiting your customer’s taps by arrogant staff attitude"
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,"Had a wonderful 3 course meal here, which was part of a gift voucher package.
The staff were very attentive and there was a good chance of dishes.

The food was amazing and such good portions."
The Fortnum’s Bar & Restaurant at Royal Exchange,3.0,"This branch is located inside the Royal exchange. Its not as grand as the actual branch but it still offers a lovely vibe. The place is beautiful especially with Christmas decorations. Stopped there for a quick coffee. Service was good and coffee was great, we had Americanos. However, the price is just too much for a cup of coffee."
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,"Tasty dinner in a beautiful building with friendly and professional service. We enjoyed all our dishes especially the scotch egg and the sea bass. Both desserts were good too. The crumble topping on the apple and rhubarb crumble was the lightest and crispiest crumble I have had. A classic British dessert stylishly delivered.

Special thanks to our waiter Roy for his attentive service with a smile."
The Fortnum’s Bar & Restaurant at Royal Exchange,2.0,"We made a reservation for 13:45, intending to enjoy a two-hour period for both lunch and afternoon tea. However, we were denied the opportunity to order afternoon tea, which is available from 14:30 onwards. When we inquired about the restriction, they explained that our reservation was specifically for lunch, not afternoon tea. It struck us as odd – how could they assume we wouldn't be interested in afternoon tea following a light lunch?

Moving on, the Scott eggs had an average taste, accompanied by heavily Maggie's seasoned powdered defrosted peas and carrots.

The interior was stunning, and the location exudes a cool vibe reminiscent of the financial district in downtown Manhattan. Numerous iconic landmarks are situated nearby. Only the lunch wasn't giving."
The Fortnum’s Bar & Restaurant at Royal Exchange,5.0,"Had an evening meal here through Virgin experiences. We really enjoyed the experience which was very relaxed and casual. The building itself is stunning. The food was delicious, all of it was great quality, although the options were a little limited. The staff were very attentive and made sure we had everything we needed. We were even late for our booking but staff made sure all of our courses were prepared before the kitchen closed."
The Fortnum’s Bar & Restaurant at Royal Exchange,4.0,"Afternoon tea with a touch of Xmas in the stunning al fresco-style surroundings of the Royal Exchange’s spectacular central courtyard with bonus stars lights display probably only in December was well worth the price. Gingerbread mini loaf, pistachio white chocolate bauble and violet choux were nice but not the best, however sandwiches were of quality and scones served with lemon curd in addition to jam and clotted cream were well made. Service was fine. Recommended."
The Fortnum’s Bar & Restaurant at Royal Exchange,2.0,"had afternoon tea here and service was terrible. front of house/manager and servers were unfriendly from the beginning and acted as if they did not want to serve our table and would rather serve others. they did not greet us, and served us carelessly and ignored our table multiple times. my expectations of a f&m were sorely unmet, and would rather patronise other places for afternoon tea with better service overall."
